qc_id,id,numero,status,aberta,atendida,encerrada,centro,setor,área,icon_url
"0","1","11245",agendada,2020/03/12,,,CH,Centro de Humanidades,Ar condicionado,./0.png
"1","2","11235",agendada,2020/03/11,,,CH,Centro de Humanidades,Ar condicionado,./0.png
